,TPM,Gene Heterogeneity,log10TPM,htg.qtl
PCBP1,221.31129051803464,0.7146834227105798,2.345003570658396,1.0
SNRPG,551.0586156518909,0.642544235970184,2.741197796855833,0.25
FAM136A,114.93980670237138,0.7073692289982343,2.0604704624325834,1.0
CCT7,352.6306216288002,0.6989510242077251,2.5473200227306867,0.75
DGUOK,105.72305722875635,0.6846134153013107,2.024169713279019,0.5
TMSB10,1839.506160266695,0.5271134934705644,3.264701246565272,0.25
TCF7L1,80.66190456945836,0.6597882694857377,1.906668472249345,0.5
RNF181,123.28930537638226,0.6639925964244263,2.0909254057322766,0.5
C2orf68,27.042736290335945,0.6563809414415465,1.432050633115401,0.25
RMND5A,35.021159407180505,0.6811803487764491,1.544330519697338,0.5
STARD7,99.22480212062246,0.702943598271655,1.9966202414869114,1.0
SNRNP200,33.03540104645079,0.6937979220285247,1.5189795834677313,0.75
COX5B,730.977756410839,0.6563977219959449,2.8639041616158503,0.25
RPL31,1399.4629275153961,0.5007682015593167,3.1459613982728882,0.25
DDX18,32.39455670016336,0.6995832977685581,1.510472041265752,0.75
DBI,225.41317288994378,0.6892712898481407,2.352979292128225,0.75
POLR2D,55.116919030681075,0.6671408272508756,1.7412849330401525,0.5
MZT2A,299.6427383296088,0.6078103800795253,2.4766037572816475,0.25
SSB,109.13242097287143,0.6983493161111518,2.037953789616153,0.75
ATP5MC3,288.78977215082784,0.6876165276007842,2.4605818080904203,0.75
HNRNPA3,134.35670483930653,0.6863018927953741,2.128259344026021,0.75
HSPD1,430.24033391464366,0.7078374133744095,2.633711121940473,1.0
HSPE1,988.4368947460346,0.6156584928776071,2.994948947662424,0.25
SUMO1,119.20822729432587,0.7045701625243251,2.0763062297769035,1.0
EEF1B2,993.5391436366926,0.6729321314599906,2.9971849821962424,0.5
IDH1,49.737459542018755,0.6576251480490303,1.6966835988860829,0.5
XRCC5,203.16451932401753,0.7102427274542353,2.307847864993598,1.0
RPL37A,1189.6343666761913,0.39572262019783583,3.0754135017834385,0.25
IGFBP2,304.2361447611681,0.6798030093315502,2.4832108091180953,0.5
ARPC2,217.67805109406078,0.7101952817446318,2.3378146404820828,1.0
ITM2C,101.13948381752769,0.6779502275260876,2.004920732806794,0.5
PSMD1,61.24207941149056,0.6973580315154935,1.7870499282967045,0.75
NCL,199.71310559191846,0.6897721873370654,2.3004065651185646,0.75
PTMA,760.7526178608456,0.5548229506830108,2.8812434555035056,0.25
EIF4E2,120.50772512274337,0.7191407300234944,2.081014888161029,1.0
HDLBP,74.98806703291365,0.6715732423749055,1.874992158937302,0.5
DTYMK,172.79498897044041,0.6986618692356968,2.2375311438486514,0.75
SETD5,29.485815079278098,0.694953318171683,1.4696131375247168,0.75
BRK1,194.36330133355182,0.6880066165039341,2.2886142671082355,0.75
RPL32,1612.460693561402,0.461861203525776,3.207489136778656,0.25
LSM3,70.28774959020483,0.7132016929683813,1.846879638690054,1.0
